id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,year,profit,roi,imdb_url
520,Bubble,6.3,121.0,Released,2006-01-27,261966.0,73.0,1600000.0,tt0454792,en,Bubble,"Set against the backdrop of a decaying Midwestern town, a murder becomes the focal point of three people who work in a doll factory.",1.5367,Another Steven Soderbergh Experience,"Drama, Crime, Mystery","HDNet Films, 2929 Productions, Extension 765",United States of America,English,"Ross Clegg, Madison Wilkins, Phyllis Workman, Decker Moody, Scott Smeeks, Joyce Brookhart, Dustin James Ashley, K. Smith, Debbie Doebereiner, Omar Cowan, Leonora K. Hornbeck, Katherine Beaumier, M. Stephen Deem, Daniel R. Christian, Misty Wilkins, Laurie L. Wee, David Hubbard, Thomas R. Davis",Steven Soderbergh,Steven Soderbergh,Coleman Hough,"Gregory Jacobs, Mark Cuban, Jason Kliot, Todd Wagner",Robert Pollard,6.5,8571.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/w56oo9nREcF54sNXVYuE9QxZFjT.jpg,2006,0.0,0.0,https://www.imdb.com/title/tt0454792/
521,Inside Man,7.395,5939.0,Released,2006-03-17,186003591.0,129.0,45000000.0,tt0454848,en,Inside Man,"When an armed, masked gang enter a Manhattan bank, lock the doors and take hostages, the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing.",14.1054,It looked like the perfect bank robbery. But you can’t judge a crime by its cover.,"Crime, Drama, Thriller","40 Acres and a Mule Filmworks, Imagine Entertainment, Universal Pictures",United States of America,"English, shqip","Amir Ali Said, Jason Manuel Olazabal, Michal Sinnott, Cassandra Freeman, Ken Leung, Brad Leland, Frank Composto, Anthony Borowiec, Lemon Andersen, Limary Agosto, Bernie Rachelle, Clive Owen, Baktash Zaher, Rafael Osorio, Robert C. Kirk, Agim Coma, Julian Niccolini, Chiwetel Ejiofor, Denzel Washington, Lionel Pina, Al Palagonia, Rozanne Sher, Gregory Dann, James Ransone, Craig M. Spitzer, Victor Colicchio, Gerry Vichi, Ashlie Atkinson, Peter Frechette, Marcia Jean Kurtz, Carlos Andrés Gómez, Aaron Vexler, Joe Coots, Ed Crescimanni, Daryl Mitchell, Frank Stellato, Waris Ahluwalia, Robert Testut, Peter Gerety, Christopher Plummer, Samantha Ivers, Ed Onipede Blunt, Peter Kybart, Sandra Endo, Kim Director, Michael Devine, Ben Crowley, Anthony Mangano, Ed Bogdanowicz, Ernest Rayford, Florina Petcu, Vincent DiMartino, Dominic Carter, Jodie Foster, David Brown, Willem Dafoe, Jeff Ward, Patrick Illig, Kandiss Edmundson, Rodney ""Bear"" Jackson, Rachel Black, John Speredakos, Frank Hopf, Ken Ferrigni, Shon Gables",Spike Lee,Matthew Libatique,Russell Gewirtz,"Kim Roth, Daniel M. Rosenberg, Karen Kehela Sherwood, Jon Kilik, Brian Grazer",Terence Blanchard,7.6,412416.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ffMUgkDZICNiyaws1Jkv8qG8uFW.jpg,2006,141003591.0,313.34131333333335,https://www.imdb.com/title/tt0454848/
522,Yakuza Apocalypse,5.991,171.0,Released,2015-05-21,12756.0,115.0,0.0,tt3675748,ja,極道大戦争,"When young protege Akira Kageyama is bitten by his dying vampire boss, Genyo Kamiura, he must get used to his new powers before seeking revenge.",0.9354,The Great War of the Underworld.,"Action, Horror","Nikkatsu Corporation, OLM, Happinet, Django Film, Gambit",Japan,日本語,"Masanori Mimoto, Ryushin Tei, Reiko Takashima, Hayato Ichihara, Manzō Shinra, Yoshiyuki Morishita, Tetsu Watanabe, Yayan Ruhian, Yoshiki Arizono, Yasuhi Nakamura, Pierre Taki, Denden, Riko Narumi, Mio Yuki, Sho Aoyagi, Masaki Miura, Lily Franky, Yoko Mitsuya, Yuki Sakurai, Kiyohiko Shibukawa, Makoto Sakaguchi",Takashi Miike,Hajime Kanda,Yoshitaka Yamaguchi,"Shin'ichirô Masuda, Shinjiro Nishimura, Yoshinori Chiba, Misako Saka",Koji Endo,5.5,4665.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4ZgZOfNImgWcIdldUHGYBVWsYW6.jpg,2015,12756.0,0.0,https://www.imdb.com/title/tt3675748/
523,Jocks,4.9,16.0,Released,1986-11-14,120808.0,91.0,0.0,tt0093315,en,Jocks,"When an odd-ball tennis team of a Los Angeles college sets out on a road trip to a regional college tennis tournament in fun-filled Las Vegas, all the stops are out and literally ""anything goes"" both on and off the court.",0.4852,Champions aren't born ... they're made!,Comedy,"Mount Olympus Productions, Crown International Pictures",United States of America,English,"Perry Lang, Katherine Kelly Lang, Christopher Murphy, R.G. Armstrong, Stoney Jackson, Christopher Lee, Scott Strader, Tom Shadyac, Trinidad Silva, Richard Roundtree, Donald Gibb, Adam Mills, Mariska Hargitay",Steve Carver,Adam Greenberg,"David Oas, Michael Lanahan",Ahmet Yasa,David McHugh,3.8,927.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tgjpxqrugdbnADyKGvo65kySaBL.jpg,1986,120808.0,0.0,https://www.imdb.com/title/tt0093315/
524,Catch That Kid,5.6,304.0,Released,2004-02-06,16951702.0,92.0,18000000.0,tt0337917,en,Catch That Kid,"A determined twelve-year-old mountain climber takes drastic action to save her injured father by planning a high-stakes bank heist, using her skills and teamwork to navigate the challenge.",3.3356,They're on a mission without permission.,"Family, Action, Adventure","Fox 2000 Pictures, Mad Chance, Mediastream Dritte Film, Splendid Productions, Nimbus Film, 20th Century Fox","Denmark, United States of America",English,"Todd M. Hofacker, Gianina Sbardellati, Patrick Stinson, Sam Robards, Elizabeth Decker, Kristen Stewart, Michael Des Barres, Chelsea Bond, Daniel Dotterer, Lennie Loftin, Christine Estabrook, Dawn Lewis, Franklin Dennis Jones, Max Thieriot, Audrey Wasilewski, Grant Hayden Scott, Jennifer Beals, Kane Ritchotte, Meagen Fay, Stark Sands, Corbin Bleu, John Carroll Lynch, François Giroday, Kristen Kerr, Marcus Hester, Shane Avery Scott, Jerry Penacoli, Claudia DiFolco, Lucy Butler, Linus Merwin, Robert Harvey, James Le Gros, Kevin G. Schmidt, Maria Quiban",Bart Freundlich,Julio Macat,"Nikolaj Arcel, Derek Haas, Michael Brandt","Damien Saccani, Jeffrey Graup, Mikkel Bondesen, Gym Hinderer, James Dodson, Andrew Lazar",George S. Clinton,5.2,11229.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vNZTtrzrIsIAHzqH3143oWIzFjG.jpg,2004,0.0,0.0,https://www.imdb.com/title/tt0337917/
525,Something Wild,6.6,354.0,Released,1986-11-07,8362969.0,114.0,0.0,tt0091983,en,Something Wild,"A free-spirited woman ""kidnaps"" a yuppie for a weekend of adventure. But the fun quickly takes a dangerous turn when her ex-con husband shows up.",1.3625,Something Different. Something Daring. Something Dangerous.,"Crime, Comedy, Romance",Religiosa Primitiva,United States of America,English,"Buzz Kilman, Ding-a-Ling, Jeff Herig, Johnny Marrs, Maggie T., Sandy McLeod, Dung Chau, Jeffrey R. Rioux, James Hurd, Jim Roche, Emma Byrne, Thomas Cavano, Tracey Walter, Mary Ardella Drew, Margaret Colin, Kristin Olsen, John Montgomery, Joanna Kitchen-Hurd, Chloe Amateau, Anna Thomson, The Texas Kid, Kenneth Utt, George Henry Wyche Jr., John Sayles, John Waters, Dana Preu, Marilee K. Smith, Robert Ridgely, Edward Saxon, Charles Napier, 'Sister' Carol East, Joseph Lee Davis, Gary Goetzman, Jack Gilpin, Patricia Falkenhain, George 'Red' Schwartz, Leib Lensky, Heather Shaw, Adelle Lutz, Steven Scales, D. Stanton Miranda, Su Tissue, Melanie Griffith, Byron D. Hutcherson, Eleana Hutcherson, Dorothy Demme, Ray Liotta, Jeff Daniels, Gil Lazier, Vic Blair",Jonathan Demme,Tak Fujimoto,E. Max Frye,"Edward Saxon, Kenneth Utt, Jonathan Demme","Laurie Anderson, John Cale",6.9,22488.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/344lhBozqFWKxBb4fp6azYQMLEy.jpg,1986,8362969.0,0.0,https://www.imdb.com/title/tt0091983/
526,Birdman of Alcatraz,7.5,307.0,Released,1962-07-04,3100000.0,147.0,2650000.0,tt0055798,en,Birdman of Alcatraz,"After killing a prison guard, convict Robert Stroud faces life imprisonment in solitary confinement. Driven nearly mad by loneliness and despair, Stroud's life gains new meaning when he happens upon a helpless baby sparrow in the exercise yard and nurses it back to health. Despite having only a third grade education, Stroud goes on to become a renowned ornithologist and achieves a greater sense of freedom and purpose behind bars than most people find in the outside world.",10.334,Inside the rock called Alcatraz they tried to chain a volcano they called 'The Bird Man'!,"Drama, Crime","Norma Productions, United Artists",United States of America,English,"Fred Libby, Phil Schumacher, Pat Moran, James Westerfield, Harry Holcombe, David McMahon, Leo Penn, Pete Kellett, Mike Mahoney, William Hansen, Betty Field, Thelma Ritter, Neville Brand, William Hoehne Jr., Burt Lancaster, Victor Romito, Joe McGuinn, Telly Savalas, Edmond O'Brien, Karl Malden, Nick Dennis, Robert Burton, Raoul Freeman, Nicky Blair, Robert Bailey, Chris Robinson, Anton von Stralen, Hugh Marlowe, Kermit Maynard, Michael Ross, Noble 'Kid' Chissell, George Mitchell, Adrienne Marden, Robert B. Williams, Ray Spiker, Whit Bissell, Harry Jackson, Edward Mallory, Ben Roseman, Mushy Callahan, James J. Casino, Frankie Van, Michael Masters, Wayne Heffley, Lewis Charles, Raymond Greenleaf, Dale Van Sickel, John Indrisano, Len Lesser, Crahan Denton",John Frankenheimer,"Burnett Guffey, John Alton","Thomas E. Gaddis, Guy Trosper","Guy Trosper, Stuart Millar, Harold Hecht",Elmer Bernstein,7.8,20431.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/6EODLN11HTX4l2cmakAhWIoJLF.jpg,1962,450000.0,16.9811320754717,https://www.imdb.com/title/tt0055798/
527,Lady Vengeance,7.5,1714.0,Released,2005-07-29,23803308.0,115.0,0.0,tt0451094,ko,친절한 금자씨,"Released after being wrongfully convicted and imprisoned for 13 years, a woman begins executing her elaborate plan of retribution.",3.8592,All she wanted was a peaceful life… they didn't give it.,"Drama, Thriller","TSJ Entertainment, Ilshin Capital Investments, Centurion Investment, Moho Film, CJ Entertainment, CJ Venture Investment",South Korea,"English, 日本語, 한국어/조선말","Lim Su-kyung, Choi Jung-woo, Kim Byeong-ok, Choi Hee-jin, Oh Dal-su, Oh Kwang-rok, Kim Ik-tae, Seo Young-ju, Tony Barry, Won Mi-won, Song Kang-ho, Jun Sung-ae, Kim You-jung, Choi Min-sik, Kang Hye-jung, Lee Byung-joon, Ryoo Seung-wan, Kim Si-hoo, Nam Il-woo, Yoo Ji-tae, Shin Ha-kyun, Ko Chang-seok, Lee Seung-shin, Lee Dae-yeon, Kim Keum-soon, Lee Yeong-mi, Han Jae-duk, Jang Jeong-ae, Yoon Jin-seo, Ra Mi-ran, Kim Hee-Soo, Park Myung-shin, Kwon Yea-young, Cha Soon-bae, Lee Young-ae, Kim Jin-goo, Koh Soo-hee, Lee Yong-nyeo, Kim Se-won, Kim Chun-gi, Anne Cordiner, Seo Ji-hee, Kim Bu-seon",Park Chan-wook,Chung Chung-hoon,"Chung Seo-kyung, Park Chan-wook","J.J. Harris, Lee Tae-hun, Cho Young-wuk, June Lee, Beth Kono, Park Myeong-chan, Chun-yeong Lee, Miky Lee",Choi Seung-hyun,7.5,89198.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/7F7Ozn0QpqkVvuv1kC2XpbuFvn9.jpg,2005,23803308.0,0.0,https://www.imdb.com/title/tt0451094/
528,Mutiny on the Bounty,7.0,311.0,Released,1962-11-08,13680000.0,185.0,19000000.0,tt0056264,en,Mutiny on the Bounty,"The Bounty leaves Portsmouth in 1787. Its destination: to sail to Tahiti and load bread-fruit. Captain Bligh will do anything to get there as fast as possible, using any means to keep up a strict discipline. When they arrive at Tahiti, it is like a paradise for the crew, something completely different than the living hell aboard the ship. On the way back to England, officer Fletcher Christian becomes the leader of a mutiny.",2.0144,The mightiest excitement that ever swept across the sea or the screen!,"Adventure, Drama, History","Arcola Pictures, Metro-Goldwyn-Mayer",United States of America,"English, Français, Nederlands, ","Teretiaiti Teyahineheipua Maifano, Lisa Simone, Nathalie Tehahe, Tim Seely, Tinorua Vaitahe, Tufariu Tumatana Haamoeura, Ruita Salmon, Alan Callow, Richard Harris, Ben Wright, Marlon Brando, Rahera Tuia, Matahiarii Tama, Henry Daniell, Richard Haydn, Keith McConnell, Roger Ward, Gilchrist Stuart, Percy Herbert, Tarita, Gordon Thomas Wise, Chips Rafferty, Antoinette Bower, Odile Hinano Paofai, Hugh Griffith, Louise Tefaafana, Adrien Vaatete Mahitete, Eddie Byrne, Tematai Tevaearai, Virau Tepii, Trevor Howard, Larry Duran, Gordon Jackson, Noel Purcell, Maeva Maitihe, Michael Dugan, Frank Silvera, Lee Anna, Torin Thatcher",Lewis Milestone,Robert Surtees,"Charles Lederer, Charles Nordhoff, James Norman Hall",Aaron Rosenberg,Bronislau Kaper,7.2,18645.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/caxk06SANEacvycZFiApv1LA6Kl.jpg,1962,0.0,0.0,https://www.imdb.com/title/tt0056264/
529,The Empire Strikes Back,8.393,17372.0,Released,1980-05-20,538400000.0,124.0,18000000.0,tt0080684,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",13.0146,The Star Wars saga continues.,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English,"Burnell Tucker, Jane Busby, Tony Smart, Jack McKenzie, Bruce Boa, Mercedes Burleigh, Alan Flyng, Norwich Duff, Mike Edmonds, Jim Dowdall, Walter Henry, Trevor Butterfield, Denis Lawson, Clive Revill, Colin Hunt, John Dicks, Ian Liston, Alec Guinness, Kenny Baker, Alan Austen, David Prowse, Oliver Maguire, Maurice Bush, Mark Hamill, Stephanie English, Michael Culver, Jason Wingreen, Norman Chancer, Lightning Bear, Bob Anderson, Martin Dew, Peter Diamond, Tom Egeland, Egbert Sen, Richard Oldfield, Shaun Curry, Brigitte Kahn, Elaine Alexander, Kenneth Colley, Jack Purvis, Des Webb, Ray Hassett, Frank Oz, Tony Clarkin, Alan Harris, Mark Jones, Joe Johnston, Kathryn Mullen, Jerry Harte, James Earl Jones, Michael Sheard, John Hollis, Doug Robinson, Jeremy Bulloch, Mac McDonald, Peter Roy, Stuart Fell, Christopher Malcolm, Julian Glover, Richard Bonehill, Robin Scobey, John Cannon, John Ratzenberger, Michael Leader, Mark Capri, Milton Johns, Ralph G. Morse, Ralph McQuarrie, Peter Mayhew, Terry Richards, Harrison Ford, John Morton, Billy Dee Williams, Marjorie Eaton, Treat Williams, Steven Meek, Carrie Fisher, Anthony Daniels, Paul Jerricho",Irvin Kershner,Peter Suschitzky,"Lawrence Kasdan, George Lucas, Leigh Brackett","Rick McCallum, Gary Kurtz, George Lucas, Howard G. Kazanjian",John Williams,8.7,1439319.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,1980,520400000.0,2891.1111111111113,https://www.imdb.com/title/tt0080684/
530,Let Me In,6.8,2023.0,Released,2010-10-01,24145613.0,116.0,20000000.0,tt1228987,en,Let Me In,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.  A remake of the movie “Let The Right One In” which was an adaptation of a book.,3.532,Innocence dies. Abby doesn't.,"Drama, Horror, Mystery","Hammer Film Productions, EFTI, Overture Films, Exclusive Media","Sweden, United Kingdom, United States of America",English,"Sasha Barrese, Deborah L. Mazor, Chloë Grace Moretz, Dylan Minnette, Nicolai Dorian, Jimmy 'Jax' Pinchak, Elias Koteas, Galen Hutchison, Ritchie Coster, Richard Jenkins, Seth Adkins, Gwendolyn Apple, Dean Satriano, Rowbie Orsatti, Brett DelBuono, Brenda Wehle, Rachel Hroncich, Cara Buono, Braden Wilcox, Ashton Moio, Chris Browning, Kodi Smit-McPhee, Colin Moretz, Dylan Kenin, Rebekah Wiggins",Matt Reeves,Greig Fraser,"Matt Reeves, John Ajvide Lindqvist","Donna Gigliotti, Carl Molinder, Philip Elway, Simon Oakes, Nigel Sinclair, Fredrik Malmberg, John Ptak, Tobin Armbrust, Alexander Yves Brunner, John Nordling, Guy East",Michael Giacchino,7.1,130368.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/3b5gD5vNmf7Vafj2MN8uMA8r0qu.jpg,2010,4145613.0,20.728065,https://www.imdb.com/title/tt1228987/
531,Raiders of the Lost Ark,7.921,12824.0,Released,1981-06-12,389925971.0,115.0,18000000.0,tt0082971,en,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",19.4187,The return of the great adventure.,"Adventure, Action","Paramount Pictures, Lucasfilm Ltd.",United States of America,"English, Español, Deutsch, עִבְרִית, العربية, ","Patrick Durkin, Michael Sheard, Denholm Elliott, Vic Tablian, Malcolm Weaver, Harry Fielder, Harrison Ford, Don Fellows, Bill Reimbold, Ronald Lacey, John Rhys-Davies, Tutte Lemkow, Anthony Higgins, Matthew Scurfield, Dennis Muren, Frank Welker, Terry Richards, William Hootkins, Glenn Randall Jr., Christopher Frederick, Peter Diamond, Reg Harding, Nick Gillard, Fred Sorenson, Terry Leonard, Paul Freeman, Steve Hanson, Ishaq Bux, Sonny Caldinez, Vic Armstrong, Rocky Taylor, Eddie Tagoe, Sergio Mioni, Frank Marshall, Souad Messaoudi, Romo Gorrara, Anthony Chinn, Tony Vogel, Billy Horrigan, Ted Grossman, Wolf Kahler, John Rees, Martin Kreidt, Kiran Shah, Karen Allen, Pat Roach, George Harris, Rick Lester, Alfred Molina",Steven Spielberg,Douglas Slocombe,"Philip Kaufman, George Lucas, Lawrence Kasdan","George Lucas, Howard G. Kazanjian, Frank Marshall",John Williams,8.4,1073196.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,1981,371925971.0,2066.2553944444444,https://www.imdb.com/title/tt0082971/
532,Happiness,7.5,845.0,Released,1998-10-11,2800000.0,134.0,3000000.0,tt0147612,en,Happiness,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection.",1.8862,You want. He wants. She wants. But nobody wants what I want.,"Comedy, Drama","Good Machine, Killer Films",United States of America,"English, Pусский","Lila Glantzman-Leib, Ben Gazzara, Arthur J. Nascarella, Allison Furman, Jane Adams, Louise Lasser, Douglas McGrath, Jared Harris, José Rabelo, Cynthia Stevenson, Diane Tyler, Jon Lovitz, Ann Harada, Eytan Mirsky, Lisa Louise Langford, Evan Silverberg, Matt Malloy, Marla Maples, Eric Marcus, Camryn Manheim, Tsepo Mokone, Rufus Read, Molly Shannon, Socorro Santiago, Todd Solondz, Bina Sharif, Philip Seymour Hoffman, Lara Flynn Boyle, Dylan Baker, Elizabeth Ashley, Hope Pomerance, Dan Tedlie, Wai Ching Ho, Gerry Becker, Anne Bobby, Dan Moran, Johann Carlo, Olga Stepanova, Marina Gayzidorskaya, Joe Lisi, Justin Elvin",Todd Solondz,Maryse Alberti,Todd Solondz,"David Linde, Ted Hope, James Schamus, Christine Vachon",Robbie Kondor,7.7,77333.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rYfUcEV88Z3gENrfYTE6i8yBkDr.jpg,1998,0.0,0.0,https://www.imdb.com/title/tt0147612/
533,Den of Thieves 2: Pantera,6.8,453.0,Released,2025-01-08,54586117.0,144.0,40000000.0,tt8008948,en,Den of Thieves 2: Pantera,"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous and unpredictable world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of the world's largest diamond exchange.",21.6409,The score isn't settled.,"Action, Crime, Thriller","Diamond Film Productions, G-BASE, Tucker Tooley Entertainment, Lionsgate, Entertainment One Features","Canada, United States of America",English,"Evin Ahmad, Philip Waley, Michael Bisping, Daniel Adams, Orli Shuka, Antonio Bustorff, Salvatore Esposito, Norbert Dobeleit, Constantin Vidal, Velibor Topic, Nazmiye Oral, Alexandre Auvergne, John West Jr, Ignacio Herráez, O'Shea Jackson Jr., Stéphane Rideau, Moussa Echarif, Slavko Ilic, Jordan Bridges, Rico Verhoeven, Agim De Bruycker, Birol Tarkan Yıldız, Dejan Aćimović, Damir Kustura, Celia Bermejo, Michael Landes, Cristian Solimeno, Dimitri 'Vegas' Thivaios, Pat Skipper, Emanuel Felix, Vitor Belfort, Pierre Ensergueix, Mark Grosy, Stéphane Coulon, Borja Saavedra, Yapci Ramos, Alexey Chunaev, Dino Kelly, Meadow Williams, Giuseppe Schillaci, Yuri D. Brown, Yasen Atour, Gerard Butler, Jean Paul Szybura, Fortunato Cerlino, Swen Temmel, Joshua Gabriel Liège, Andreu Bresca, Louis Seguier, Kelly Fonseca, Ciryl Gane, Uri Roodner, Adriano Chiaramida, Amelia Taylor Chunaev",Christian Gudegast,Terry Stacey,"Christian Gudegast, Paul T. Scheuring","50 Cent, Alan Siegel, Glenn D. Feig, Meadow Williams, Tucker Tooley, Gerard Butler, Swen Temmel, Mark Canton",Kevin Matley,6.3,28547.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rxcyxxarD17xMliStDEhM6y2AYQ.jpg,2025,14586117.0,36.465292500000004,https://www.imdb.com/title/tt8008948/
534,State and Main,6.258,271.0,Released,2000-08-26,9206279.0,106.0,0.0,tt0120202,en,State and Main,A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,2.8953,"When a film crew came to Waterford, Vermont they shot first and asked questions later.","Comedy, Drama","Fine Line Features, Filmtown Entertainment Group, El Dorado Pictures, Green/Renzi","France, United States of America","Italiano, English","Dee Nelson, Tony Mamet, Laura Silverman, Kate Super, Paul Butler, Richard L. Friedman, Julia Stiles, Ricky Jay, Christopher Kaldor, David Paymer, Matt Malloy, Timothy Jernigan-Smith, Ken Cheeseman, Alan Francis Sullivan, Alexandra Kerry, Michael Bradshaw, Chris De Christopher, Philip Seymour Hoffman, Charlotte Potok, Rebecca Pidgeon, Kolbie McCabe, Jack Wallace, Matthew Pidgeon, Charles Durning, Josh Marchette, Michael James O'Boyle, Frederic Levy, Danny Hovanesian, Jordan Lage, Sean Patrick Reilly, Jim Frangione, John Krasinski, Sarah Jessica Parker, J.J. Johnston, Emma Norman, Brian Howe, Lana Bilzerian, Cindy Lentol, Allen Soule, Vincent Guastaferro, Linda Kimbrough, Clark Gregg, Lionel Mark Smith, Jonathan Katz, Michael Higgins, Todd Poudrier, William H. Macy, G. Roy Levin, David Lauren, Tony V., Darrell Geer, Alec Baldwin, Patti LuPone, Kevin Foster McCarthy, Robert E. Walsh, Morris Lamore, Jerry Graff",David Mamet,Oliver Stapleton,David Mamet,"Sarah Green, Alec Baldwin, Jonathan Cornick",Theodore Shapiro,6.7,23103.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/348hvpWeSGdAQlCrGvKbpC0FpQN.jpg,2000,9206279.0,0.0,https://www.imdb.com/title/tt0120202/
535,Bad Genius,7.891,792.0,Released,2017-05-03,42350000.0,130.0,1839169.0,tt6788942,th,ฉลาดเกมส์โกง,"Lynn, a brilliant student, after helping her friends to get the grades they need, develops the idea of starting a much bigger exam-cheating business.",2.3307,Genius students with one mission... Turning exam answers into millions.,"Drama, Crime, Thriller, Comedy","Jor Kwang Films, GDH 559",Thailand,"English, ภาษาไทย","Thanachart Phinyocheep, Salaithip Charubhumi, Valerie Bentson, David Gray, Neil Hayes, Chutimon Chuengcharoensukying, Thanawat Sutat Na Ayutthaya, Heather Prowse, Benjamin Nitze, Sahajak Boonthanakit, Kanjana Vinaipanid, Sasidis Sasisakulporn, Laluna Nitze, Amie Cicciarello, Arisa Ogata, Rod Mabin, Pasin Kuansataporn, Uraiwan Puvichitsutin, Chanon Santinatornkul, Taffy Marufu, Thanyarat Naovaratpong, Sivapee Mapaisalkij, Nopawat Likitwong, Teeradon Supapunpinyo, Ego Mikitas, Kobrsak Noomnoi, Boonyarich Baijiam, Theerasak Udomsub, Pitchatorn Santinatornkul, Markus Waldow, Suttida Wongpramoth, Thaneth Warakulnukroh, Yuthapong Varanukrohchoke, Napha Sinxayvoravong, Valentin Velkov, Bundit Saejiw, Connor Malanos, Suquan Bulakul, Panot Sukhjitr, Somchai Ruedikunrangsi, Eisaya Hosuwan, David Bloom, Sarinrat Thomas, Vittawin Veeravidhayanant, Arisa Hansura, Suwijak Mahatthanachotwanich, Narwin Rathlertkarn, Thanwalai Pornjirattikal, Natchanok Kamonrattananan",Nattawut Poonpiriya,Phaklao Jiraungkoonkun,"Vasudhorn Piyaromna, Tanida Hantaweewatana, Nattawut Poonpiriya","Chenchonnee Soonthornsaratul, Jira Maligool, Paiboon Damrongchaitham, Suwimon Techasupinan, Jina Osothsilp, Boosaba Daorueng, Vanridee Pongsittisak, Weerachai Yaikwawong",Vichaya Vatanasapt,7.6,24570.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/mgyvwqn5SYKhfg5kofZDfgH8R0q.jpg,2017,40510831.0,2202.6703908123727,https://www.imdb.com/title/tt6788942/
536,Guess Who,6.0,922.0,Released,2005-03-25,103100000.0,105.0,35000000.0,tt0372237,en,Guess Who,"When a young African-American woman brings her fiancé home to meet her parents, she's neglected to mention one tiny detail – he's white.",2.5628,Some in-laws were made to be broken.,"Comedy, Romance","Columbia Pictures, Regency Enterprises, 3 Arts Entertainment, Tall Trees Productions, Katalyst Films",United States of America,English,"Bernie Mac, Judith Scott, JoNell Kennedy, Nadine Ellis, Ashton Kutcher, Paula Newsome, Robert Curtis Brown, Denise Dowse, Hal Williams, Mike Epps, Alex Morris, Jessica Cauffiel, Kimberly Scott, Nicole Sullivan, David Krumholtz, RonReaco Lee, Richard Lawson, Robert Hoffman, Phil Reeves, Kellee Stewart, Zoe Saldaña, Niecy Nash-Betts, Sherri Shepherd, J. Kenneth Campbell",Kevin Rodney Sullivan,Karl Walter Lindenlaub,"Peter Tolan, David Ronn, Jay Scherick","Steve Greener, Jason Goldberg, Jenno Topping, Erwin Stoff, Betty Thomas, Joseph M. Caracciolo",John Murphy,5.9,47137.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8BF6qSAANBvhEPZxQVTUiZbfiOy.jpg,2005,68100000.0,194.57142857142858,https://www.imdb.com/title/tt0372237/
